words,links,capital_words,spam_word_count,is_spam
54,2,11,5,1
22,1,1,2,0
744,6,2,3,1
212,3,7,0,0
245,1,5,5,1
994,9,20,1,1
183,3,30,0,1
240,4,0,1,1
663,8,21,6,1
119,10,13,5,1
990,4,2,3,1
312,2,2,2,0
232,6,29,9,1
190,2,27,9,1
951,6,21,10,1
78,6,17,6,1
839,1,27,10,1
280,0,2,6,0
818,4,7,5,1
242,1,2,1,0
898,9,8,4,1
148,0,0,2,0
228,1,1,1,0
221,1,2,2,0
784,4,27,3,1
250,2,3,6,0
255,2,1,2,0
51,0,2,2,0
293,2,0,1,0
183,2,0,1,0
275,10,28,3,1
329,1,2,1,0
753,4,0,2,1
176,2,1,2,0
208,1,2,0,0
184,2,0,0,0
70,2,3,0,0
404,5,10,1,1
810,6,15,4,1
119,4,4,3,1
277,2,1,2,0
146,0,2,0,0
961,2,23,6,1
143,9,27,4,1
250,10,29,5,1
715,9,28,5,1
560,9,11,0,1
882,1,18,9,1
300,1,1,5,0
684,0,19,2,1
31,1,0,0,0
748,10,17,1,1
65,6,16,10,1
278,2,3,1,0
228,1,0,0,0
836,1,24,8,1
982,6,8,8,1
25,4,0,5,0
62,0,10,2,0
601,8,5,9,1
264,1,4,1,0
35,5,1,1,0
157,1,2,1,0
666,3,20,4,1
240,0,0,2,0
67,2,0,0,0
888,7,9,8,1
134,9,2,8,1
37,1,3,2,0
33,1,6,1,0
50,0,1,0,0
287,4,2,0,0
369,6,9,8,1
179,9,29,3,1
47,2,0,2,0
60,2,3,2,0
132,1,0,0,0
552,4,23,9,1
37,0,2,0,0
284,2,3,4,0
117,7,9,10,1
118,2,3,0,0
349,3,6,10,1
791,8,19,8,1
472,2,1,2,0
220,5,3,1,0
241,1,5,1,0
220,2,1,1,0
336,3,3,4,0
57,2,0,5,0
273,2,10,2,0
268,0,0,0,0
182,2,26,10,1
292,1,3,0,0
151,2,2,4,0
168,2,1,4,0
638,9,1,6,1
451,1,29,10,1
103,1,2,1,0
658,3,16,10,1
78,3,3,9,1
75,0,2,10,1
126,3,21,9,1
131,1,2,4,0
127,9,2,7,1
98,5,14,5,1
35,2,3,2,0
60,1,0,0,0
261,1,3,0,0
142,2,10,3,1
71,1,2,2,0
839,6,0,8,1
188,7,10,7,1
26,1,2,3,0
412,9,22,10,1
938,9,6,3,1
905,5,5,7,1
657,9,29,3,1
63,1,6,0,0
887,10,16,3,1
197,2,3,1,0
28,1,2,2,0
823,5,9,9,1
257,3,1,1,0
272,1,3,0,0
872,10,17,8,1
33,1,2,2,0
165,2,3,5,0
895,2,23,2,1
259,3,3,3,0
50,10,4,6,1
129,2,0,1,0
163,2,3,0,0
140,2,20,3,1
737,2,22,1,1
114,4,6,7,1
897,7,4,10,1
262,2,2,2,0
769,3,2,6,1
167,3,4,4,1
192,2,3,2,0
602,10,16,6,1
429,1,3,4,0
56,1,4,0,0
254,1,0,2,0
103,3,23,4,1
222,4,3,2,0
121,1,2,3,0
247,10,2,6,1
39,2,3,2,0
408,1,0,1,0
76,0,7,6,0
149,1,0,1,0
240,0,3,5,0
331,2,1,1,0
134,4,29,7,1
127,0,2,2,0
34,2,1,0,0
287,1,3,1,0
248,4,10,1,0
675,9,26,2,1
137,2,0,6,1
283,0,2,1,0
436,10,10,1,1
183,2,0,1,0
110,1,18,9,1
162,9,21,4,1
63,2,5,2,0
208,0,3,4,0
547,1,14,3,1
205,0,0,1,0
676,5,24,5,1
225,0,3,6,0
205,2,1,2,0
765,4,6,10,1
192,1,9,2,0
143,10,28,8,1
134,8,21,1,1
780,9,7,3,1
45,0,0,5,0
295,4,3,0,0
282,1,0,0,0
217,2,10,0,0
174,2,2,2,0
959,9,28,10,1
150,0,10,0,0
273,2,2,5,0
794,4,1,0,1
61,2,2,3,0
258,0,2,2,0
247,2,4,5,0
872,5,0,10,1
213,1,3,0,0
108,1,2,0,0
122,4,20,8,1
482,6,10,4,1
125,2,2,2,0
99,1,0,2,0
134,2,22,9,1
224,4,26,2,1
588,3,11,6,1
498,10,17,7,1
126,1,2,1,0
506,4,12,7,1
218,2,2,1,0
105,7,21,3,1
195,0,7,1,0
262,5,6,0,1
131,0,3,2,0
83,4,2,1,0
170,10,26,6,1
304,1,7,0,0
757,8,0,6,1
640,3,16,2,1
271,1,9,0,0
209,3,3,3,0
318,7,26,5,1
217,0,0,1,0
255,8,21,9,1
176,1,0,0,0
839,2,7,9,1
28,0,0,2,0
100,0,3,1,0
76,5,0,2,0
181,0,4,1,0
764,6,14,10,1
107,3,29,10,1
209,0,8,1,0
306,2,7,0,0
754,2,12,5,1
542,2,22,3,1
458,6,5,6,1
53,2,0,2,0
116,1,3,0,0
51,1,1,0,0
341,6,28,6,1
837,7,26,3,1
638,7,25,9,1
115,2,6,0,1
62,1,1,0,0
210,0,0,1,0
92,1,0,1,0
130,1,3,2,0
136,0,1,2,0
727,2,1,10,1
127,0,4,0,0
782,1,14,5,1
158,2,2,1,0
192,9,5,10,1
960,1,5,3,1
399,0,3,2,0
40,2,1,1,0
364,3,23,6,1
198,0,2,2,0
296,2,3,1,0
601,7,3,5,1
145,1,3,2,0
